date,dji,test_1_ens_no_indic,test_5_ens_extensive_indic,test_7_ens_extensive_indic-25%,test_6_ens_extensive_indic+25%
2023-05-10,916530.6662,828981.2585,997138.9226,1006810.924,946164.3812
2023-05-11,910467.6335,825289.0226,993745.0353,984773.0145,940882.943
2023-05-12,910224.621,825834.8044,993752.5973,987538.1765,940495.5816
2023-05-15,911536.0982,826649.3098,999447.8689,984713.1999,939152.4739
2023-05-16,902339.422,813028.9256,992080.8227,991792.0582,944299.0996
2023-05-17,913508.7059,820063.1383,1005906.665,991295.7,946038.4701
2023-05-18,916655.9094,818019.0638,1011924.942,978127.1924,952877.7
2023-05-19,913668.8635,816126.1741,1009541.07,990395.1488,958982.3
2023-05-22,909840.7767,816329.5254,1008547.97,995139.1,960896.4
2023-05-23,903524.9085,811255.1173,996362.2295,1000205.661,976697.7274
2023-05-24,896538.7274,804864.299,985043.141,994101.8844,974128.6695
2023-05-25,895574.6321,798856.7475,982588.6526,986897.4083,962080.3
2023-05-26,904558.8859,803195.564,997313.1,983229.4002,957774.2112
2023-05-30,903176.9394,803682.6553,995618.81,997029.3808,960128.5
2023-05-31,899500.2549,808403.0377,998980.3907,995590.3056,950853.1964
2023-06-01,903690.5115,807768.806,1012865.402,992777.7177,946162.5533
2023-06-02,922856.5709,820978.7041,1029891,990997.7385,950797.1687
2023-06-05,917392.5276,823128.8651,1025174.263,988398.9394,950104.1
2023-06-06,917677.3946,818845.0527,1034692.834,991952.7026,954339.5925
2023-06-07,920184.9286,816075.659,1032312.234,987040.2508,964680.7568
2023-06-08,924793.0897,818214.1739,1032250.042,974501.9468,963053.8574
2023-06-09,925973.1309,817654.8109,1033392.635,981709.3954,960601.86
2023-06-12,931154.1223,816872.2807,1043712.9,977128.4,955247.6082
2023-06-13,935139.1636,822720.5847,1044003.424,975813.9623,949203.4788
2023-06-14,928776.1024,807308.5225,1042111.369,972038.105,947245.4
2023-06-15,940494.8336,822445.9102,1051215.562,965259.4125,955271.407
2023-06-16,937517.1836,821642.7537,1053707.732,964278.4625,959283.2
2023-06-20,930813.6273,822955.6098,1043936.309,959420.5,960990.2576
2023-06-21,928015.9944,824286.1562,1035495.805,965447.7132,959604.8
2023-06-22,927884.5584,827214.7006,1041211,960486.6,960665.1
2023-06-23,921890.8206,822510.6508,1037560.439,968986.6554,977067.8341
2023-06-26,921543.1718,818870.0955,1033134.392,981014.917,976417.4516
2023-06-27,927338.6345,818382.3084,1023308.942,994722.8936,978289.9
2023-06-28,925313.8155,812663.5174,1030244.524,991043.0814,976103.4923
2023-06-29,932687.3644,821304.3304,1038637.371,978076.9921,981062.9
2023-06-30,940482.3413,828285.3687,1050990,970417.6,983452.4917
2023-07-03,940779.3802,832658.2461,1055538.04,981914.6436,979364.2095
2023-07-05,937230.715,830405.5962,1058757.866,986964,972488.7837
2023-07-06,927216.2741,822986.9931,1049657.444,988880.6201,980203.6
2023-07-07,922094.4343,812743.5656,1041788.097,987560.2,979610.1
2023-07-10,927821.3495,823945.4426,1049574.876,953449.6943,982564.8
