date,dji,test_1_ens_no_indic,test_2_ens_default_indic,test_3_ens_def_mix_indic,test_4_ens_diff_indic,test_5_ens_extensive_indic
2022-11-23,934645.4511,904870.0755,945645.1147,970327.4548,847770.8934,1043388.027
2022-11-25,938826.7388,907668.0783,954421.828,973067.8393,853913.3389,1050074.132
2022-11-28,925226.3694,890128.5604,942975.6718,964481.297,840926.9616,1029783.306
2022-11-29,925310.292,890397.6252,939319.068,961761.355,835554.0722,1035293.49
2022-11-30,945461.6409,913887.321,962262.1275,976261.7,872635.416,1051077.156
2022-12-01,940138.216,906962.1498,955245.4113,977187.3007,863688.6844,1047242.782
2022-12-02,941091.2605,907987.7024,957671.488,977967.1011,864949.0721,1054311
2022-12-05,927895.2356,894413.4707,947727.8668,965627.291,856391.7717,1042556.603
2022-12-06,918307.6681,883909.1509,944569.7303,952016.6629,851362.3809,1031011.725
2022-12-07,918350.9106,882308.3446,949001.4756,952350.7453,852881.5751,1035926.061
2022-12-08,923368.221,888902.9922,955089.6632,953396.9905,861451.0906,1042318.852
2022-12-09,915030.9505,882422.8359,943317.1679,944918.1871,850395.5933,1030870.639
2022-12-12,929478.8739,897578.9972,957549.8438,955212.7086,867177.4732,1047595.14
2022-12-13,932310.6737,900165.9444,956376.8966,957813.8818,867462.0008,1050691.661
2022-12-14,928421.4067,895693.5349,956359.1812,952309.9773,867478.1116,1048946.556
2022-12-15,907534.9344,875005.856,937963.1859,932926.0714,846008.3156,1027216.551
2022-12-16,899833.4895,863926.2929,931560.8632,924983.7294,835489.8141,1023827.86
2022-12-19,895380.2542,859376.6983,928336.918,919515.8,829438.5003,1021954.566
2022-12-20,897900.3873,862532.2816,927410.7105,921945.5459,829283.9712,1022655.769
2022-12-21,912298.128,873497.3454,940609.446,930372.4059,838507.0053,1042214.902
2022-12-22,902758.9281,862199.4059,934461.109,923632.3733,828445.1578,1027431.356
2022-12-23,907581.7004,868975.6027,940819.2355,926313.9783,832747.0507,1029029.064
2022-12-27,908610.2325,868128.8224,943091.5477,923112.3634,830481.2998,1032103.475
2022-12-28,898610.3125,857024.6148,935012.9699,913581.7692,822906.087,1020852.127
2022-12-29,908042.8475,868516.8601,941749.9842,921417.9598,833642.0436,1030322.693
2022-12-30,906032.4426,867794.7158,938663.5709,918064.0468,831956.5397,1028209.906
2023-01-03,905735.0833,864269.5122,932642.5661,923526.8602,823024.5302,1033771.148
2023-01-04,909381.3379,868560.9496,923846.674,930620.6,796991.7391,1049977.494
2023-01-05,900096.3615,859367.4918,905855.4856,921482.581,774164.7122,1045310.246
2023-01-06,919244.3765,876675.6286,917190.5364,938192.3541,780068.238,1075297.74
2023-01-09,916156.7516,874092.0081,913036.8495,928808.1575,782441.9951,1065406.356
2023-01-10,921253.1798,880180.9723,913534.5413,930836.9,782929.9212,1072357.428
2023-01-11,928603.4525,887921.8651,922339.5473,933751.7,798477.9802,1076229.86
2023-01-12,934533.6611,893097.4073,926848.2907,933550.3695,803212.2591,1083444.037
2023-01-13,937612.5307,897636.1586,926564.8683,934591,799918.2946,1088422.371
2023-01-17,926904.3939,890626.2547,916636.38,929997.099,796231.4129,1080825.869
2023-01-18,910124.5759,874507.5287,895655.4141,912895.5266,781196.4344,1058839.699
2023-01-19,903225.5206,863067.3078,890761.3338,909702,780886.5088,1043189.405
2023-01-20,912271.008,875225.8074,898463.9053,921325.6518,793017.386,1055564.122
2023-01-23,919215.6549,881025.3612,901714.8119,929370.3705,796917.797,1063589.419
2023-01-24,922069.3429,886327.343,908717.5882,929508.2691,801987.9872,1060741.977
2023-01-25,922339.3686,887552.7224,911009.4916,931591.5428,801191.096,1060194.183
2023-01-26,927958.3377,891292.3391,915024.2749,935151.1917,807792.7524,1064781.848
2023-01-27,928741.9354,892223.1272,908171.9241,937089.9784,802753.7276,1071735.716
2023-01-30,921608.1958,883733.1879,901517.1294,926757.8652,795252.6564,1062412.211
2023-01-31,931692.8925,889693.7942,913777.4426,935445.9072,808637.0123,1059318.462
2023-02-01,931882.092,887798.1743,910358.9688,940689.7948,808923.5061,1060207.65
2023-02-02,930815.5492,890957.376,896094.2767,942521.8,800211.1815,1056631.929
2023-02-03,927318.775,885607.1363,891344.0019,941017.3038,793888.0762,1058901.613
2023-02-06,926362.3139,884565.929,897473.1928,933230.4,794950.3504,1057482.66
2023-02-07,933624.0728,888169.6511,904231.3852,940717.4131,801492.379,1057971.781
2023-02-08,927947.447,883017.0487,900584.6621,931525.4851,803575.2122,1049060.054
2023-02-09,921137.7596,875526.9619,894868.9325,927343.6,800252.9329,1039408.797
2023-02-10,925767.8089,879072.5701,903267.3962,931162.4615,809116.8272,1045975.399
2023-02-13,936063.2729,886883.714,913096.7542,945252.0084,815685.8892,1057750.77
2023-02-14,931781.1927,882410.0446,906473.8901,942380.3145,811501.1094,1052118.5
2023-02-15,932841.2224,887194.8375,906291.1143,947372.9976,810147.5392,1059321.836
2023-02-16,921055.0115,876454.0272,897194.5287,936641,803555.5041,1046766.734
2023-02-17,924603.997,881715.6755,909638.7248,939950.832,812324.1624,1054077.878
2023-02-21,905549.7276,859077.0792,898070.3473,924461.4405,789476.274,1033420.343
2023-02-22,903240.0415,853828.5207,895521.1022,919459.9333,787541.2558,1029549.178
2023-02-23,906214.4884,857533.9801,896667.9221,920296.3,791677.177,1028474.084
2023-02-24,897003.398,849532.4757,886349.9954,911502.9,782584.108,1019476.585
